entry_time,entry_price,side,size,stop_loss,take_profit,exit_time,exit_price,exit_reason,status,pnl,pnl_pct,spread_cost,slippage_cost
2025-02-10 00:25:00,2869.67,BUY,10.0,2849.67,2929.67,2025-02-11 02:10:00,2929.67,TP_HIT,CLOSED,594.5,2.0716667770161727,0.5,0.05
2025-02-11 09:00:00,2913.03,SELL,10.0,2933.03,2853.03,2025-02-12 15:20:00,2892.89,Reverse Signal,CLOSED,195.90000000000327,0.6724956488604761,0.5,0.05
2025-02-12 15:20:00,2891.02,BUY,10.0,2871.02,2951.02,2025-02-13 14:00:00,2917.65,Reverse Signal,CLOSED,260.8000000000011,0.9021037557678642,0.5,0.05
2025-02-13 14:00:00,2914.02,SELL,10.0,2934.02,2854.02,2025-02-13 16:40:00,2919.32,Reverse Signal,CLOSED,-58.50000000000182,-0.200753598122188,0.5,0.05
2025-02-13 16:40:00,2916.99,BUY,10.0,2896.99,2976.99,2025-02-14 14:00:00,2930.75,Reverse Signal,CLOSED,132.10000000000218,0.452864082496005,0.5,0.05
2025-02-14 14:00:00,2927.7,SELL,10.0,2947.7,2867.7,2025-02-17 09:10:00,2901.2,Reverse Signal,CLOSED,259.5,0.8863613075110155,0.5,0.05
2025-02-17 09:10:00,2900.32,BUY,10.0,2880.32,2960.32,2025-02-18 02:10:00,2896.56,Reverse Signal,CLOSED,-43.10000000000218,-0.14860429194020722,0.5,0.05
2025-02-18 02:10:00,2896.75,SELL,10.0,2916.75,2836.75,2025-02-18 04:10:00,2907.6,Reverse Signal,CLOSED,-113.99999999999909,-0.3935444895141076,0.5,0.05
2025-02-18 04:10:00,2908.75,BUY,10.0,2888.75,2968.75,2025-02-19 13:00:00,2934.82,Reverse Signal,CLOSED,255.20000000000164,0.877352814782988,0.5,0.05
2025-02-19 13:00:00,2934.83,SELL,10.0,2954.83,2874.83,2025-02-19 21:00:00,2931.69,Reverse Signal,CLOSED,25.899999999998727,0.08825042677088189,0.5,0.05
2025-02-19 21:00:00,2932.06,BUY,10.0,2912.06,2992.06,2025-02-20 14:00:00,2945.31,Reverse Signal,CLOSED,127.0,0.43314256870596096,0.5,0.05
2025-02-20 14:00:00,2943.27,SELL,10.0,2963.27,2883.27,2025-02-20 17:10:00,2938.34,Reverse Signal,CLOSED,43.79999999999836,0.14881407414202014,0.5,0.05
2025-02-20 17:10:00,2938.37,BUY,10.0,2918.37,2998.37,2025-02-20 20:00:00,2941.64,Reverse Signal,CLOSED,27.199999999999818,0.09256832869924421,0.5,0.05
2025-02-20 20:00:00,2940.35,SELL,10.0,2960.35,2880.35,2025-02-21 15:15:00,2933.79,Reverse Signal,CLOSED,60.099999999999454,0.2043974356794241,0.5,0.05
2025-02-21 15:15:00,2934.11,BUY,10.0,2914.11,2994.11,2025-02-21 16:20:00,2927.04,Reverse Signal,CLOSED,-76.20000000000164,-0.25970396474570356,0.5,0.05
2025-02-21 16:20:00,2923.88,SELL,10.0,2943.88,2863.88,2025-02-21 18:20:00,2939.04,Reverse Signal,CLOSED,-157.09999999999854,-0.5372997523838138,0.5,0.05
2025-02-21 18:20:00,2938.11,BUY,10.0,2918.11,2998.11,2025-02-24 02:00:00,2930.1,Reverse Signal,CLOSED,-85.60000000000218,-0.29134375499896936,0.5,0.05
2025-02-24 02:00:00,2926.46,SELL,10.0,2946.46,2866.46,2025-02-24 04:10:00,2941.93,Reverse Signal,CLOSED,-160.199999999998,-0.5474190660388251,0.5,0.05
2025-02-24 04:10:00,2942.38,BUY,10.0,2922.38,3002.38,2025-02-24 16:05:00,2933.34,Reverse Signal,CLOSED,-95.89999999999964,-0.32592663082266615,0.5,0.05
2025-02-24 16:05:00,2932.21,SELL,10.0,2952.21,2872.21,2025-02-24 18:10:00,2941.33,Reverse Signal,CLOSED,-96.69999999999891,-0.32978538372080757,0.5,0.05
2025-02-24 18:10:00,2943.95,BUY,10.0,2923.95,3003.95,2025-02-25 04:15:00,2948.68,Reverse Signal,CLOSED,41.80000000000018,0.1419861071010044,0.5,0.05
2025-02-25 04:15:00,2946.0,SELL,10.0,2966.0,2886.0,2025-02-26 09:50:00,2914.13,Reverse Signal,CLOSED,313.1999999999989,1.0631364562118089,0.5,0.05
2025-02-26 09:50:00,2917.51,BUY,10.0,2897.51,2977.51,2025-02-26 11:00:00,2913.19,Reverse Signal,CLOSED,-48.70000000000164,-0.16692316393089188,0.5,0.05
2025-02-26 11:00:00,2914.24,SELL,10.0,2934.24,2854.24,2025-02-26 19:00:00,2913.66,Reverse Signal,CLOSED,0.29999999999927196,0.0010294279125922093,0.5,0.05
2025-02-26 19:00:00,2914.84,BUY,10.0,2894.84,2974.84,2025-02-27 02:40:00,2916.47,Reverse Signal,CLOSED,10.799999999996544,0.037051776426824605,0.5,0.05
2025-02-27 02:40:00,2915.78,SELL,10.0,2935.78,2855.78,2025-02-28 09:15:00,2855.78,TP_HIT,CLOSED,594.5,2.038905541570352,0.5,0.05
2025-02-28 22:00:00,2854.41,BUY,10.0,2834.41,2914.41,2025-03-04 09:30:00,2914.41,TP_HIT,CLOSED,594.5,2.0827421428596455,0.5,0.05
2025-03-05 02:05:00,2913.16,SELL,10.0,2933.16,2853.16,2025-03-05 06:00:00,2910.42,Reverse Signal,CLOSED,21.899999999997817,0.07517609743370711,0.5,0.05
2025-03-05 06:00:00,2911.1,BUY,10.0,2891.1,2971.1,2025-03-05 12:00:00,2913.22,Reverse Signal,CLOSED,15.699999999998909,0.05393150355535334,0.5,0.05
2025-03-05 12:00:00,2914.71,SELL,10.0,2934.71,2854.71,2025-03-05 16:45:00,2919.7,Reverse Signal,CLOSED,-55.39999999999782,-0.1900703672063355,0.5,0.05
2025-03-05 16:45:00,2920.11,BUY,10.0,2900.11,2980.11,2025-03-06 05:00:00,2921.15,Reverse Signal,CLOSED,4.899999999999636,0.016780189787369774,0.5,0.05
2025-03-06 05:00:00,2920.3,SELL,10.0,2940.3,2860.3,2025-03-06 07:30:00,2921.25,Reverse Signal,CLOSED,-14.999999999998181,-0.05136458583021669,0.5,0.05
2025-03-06 07:30:00,2920.86,BUY,10.0,2900.86,2980.86,2025-03-06 09:05:00,2908.08,Reverse Signal,CLOSED,-133.300000000002,-0.4563724382544936,0.5,0.05
2025-03-06 09:05:00,2909.84,SELL,10.0,2929.84,2849.84,2025-03-06 15:15:00,2908.88,Reverse Signal,CLOSED,4.100000000000364,0.014090121793639386,0.5,0.05
2025-03-06 15:15:00,2908.96,BUY,10.0,2888.96,2968.96,2025-03-06 21:00:00,2913.93,Reverse Signal,CLOSED,44.199999999998,0.1519443374951804,0.5,0.05
2025-03-06 21:00:00,2914.86,SELL,10.0,2934.86,2854.86,2025-03-07 06:20:00,2909.97,Reverse Signal,CLOSED,43.400000000003274,0.14889222810016012,0.5,0.05
2025-03-07 06:20:00,2911.24,BUY,10.0,2891.24,2971.24,2025-03-07 18:00:00,2913.93,Reverse Signal,CLOSED,21.400000000000546,0.07350819582033961,0.5,0.05
2025-03-07 18:00:00,2914.16,SELL,10.0,2934.16,2854.16,2025-03-10 00:00:00,2911.96,Reverse Signal,CLOSED,16.49999999999818,0.05662008949405036,0.5,0.05
2025-03-10 00:00:00,2912.63,BUY,10.0,2892.63,2972.63,2025-03-10 02:50:00,2913.6,Reverse Signal,CLOSED,4.199999999997999,0.014419957220786707,0.5,0.05
2025-03-10 02:50:00,2912.98,SELL,10.0,2932.98,2852.98,2025-03-11 03:00:00,2890.52,Reverse Signal,CLOSED,219.10000000000036,0.7521507185081956,0.5,0.05
2025-03-11 03:00:00,2890.48,BUY,10.0,2870.48,2950.48,2025-03-12 05:50:00,2915.62,Reverse Signal,CLOSED,245.89999999999873,0.8507237552240414,0.5,0.05
2025-03-12 05:50:00,2915.55,SELL,10.0,2935.55,2855.55,2025-03-12 09:50:00,2920.11,Reverse Signal,CLOSED,-51.099999999999454,-0.175267102262007,0.5,0.05
2025-03-12 09:50:00,2920.17,BUY,10.0,2900.17,2980.17,2025-03-12 11:40:00,2913.44,Reverse Signal,CLOSED,-72.80000000000018,-0.24930055441977753,0.5,0.05
2025-03-12 11:40:00,2914.11,SELL,10.0,2934.11,2854.11,2025-03-12 13:35:00,2920.8,Reverse Signal,CLOSED,-72.40000000000055,-0.24844635240262222,0.5,0.05
2025-03-12 13:35:00,2919.74,BUY,10.0,2899.74,2979.74,2025-03-13 17:05:00,2979.74,TP_HIT,CLOSED,594.5,2.036140204264764,0.5,0.05
2025-03-14 14:25:00,2995.39,SELL,10.0,3015.39,2935.39,2025-03-14 17:50:00,2989.05,Reverse Signal,CLOSED,57.89999999999691,0.1932970331075316,0.5,0.05
2025-03-14 17:50:00,2989.29,BUY,10.0,2969.29,3049.29,2025-03-14 19:50:00,2984.52,Reverse Signal,CLOSED,-53.19999999999982,-0.1779686815263819,0.5,0.05
2025-03-14 19:50:00,2983.82,SELL,10.0,3003.82,2923.82,2025-03-16 23:10:00,2986.64,Reverse Signal,CLOSED,-33.69999999999709,-0.11294246972001357,0.5,0.05
2025-03-16 23:10:00,2989.85,BUY,10.0,2969.85,3049.85,2025-03-17 04:05:00,2986.78,Reverse Signal,CLOSED,-36.19999999999709,-0.12107630817598572,0.5,0.05
2025-03-17 04:05:00,2986.82,SELL,10.0,3006.82,2926.82,2025-03-17 07:35:00,2989.98,Reverse Signal,CLOSED,-37.099999999998545,-0.1242123730254871,0.5,0.05
2025-03-17 07:35:00,2990.04,BUY,10.0,2970.04,3050.04,2025-03-17 13:50:00,2987.85,Reverse Signal,CLOSED,-27.400000000000546,-0.0916375700659541,0.5,0.05
2025-03-17 13:50:00,2985.35,SELL,10.0,3005.35,2925.35,2025-03-17 15:35:00,2996.82,Reverse Signal,CLOSED,-120.20000000000255,-0.40263285711893937,0.5,0.05
2025-03-17 15:35:00,2999.14,BUY,10.0,2979.14,3059.14,2025-03-19 09:00:00,3035.77,Reverse Signal,CLOSED,360.8000000000011,1.203011529971929,0.5,0.05
2025-03-19 09:00:00,3035.93,SELL,10.0,3055.93,2975.93,2025-03-19 11:50:00,3036.23,Reverse Signal,CLOSED,-8.500000000001819,-0.027998010494319107,0.5,0.05
2025-03-19 11:50:00,3034.42,BUY,10.0,3014.42,3094.42,2025-03-19 14:35:00,3029.7,Reverse Signal,CLOSED,-52.70000000000255,-0.17367404644051432,0.5,0.05
2025-03-19 14:35:00,3028.51,SELL,10.0,3048.51,2968.51,2025-03-19 19:00:00,3029.97,Reverse Signal,CLOSED,-20.099999999995816,-0.06636927069745788,0.5,0.05
2025-03-19 19:00:00,3036.18,BUY,10.0,3016.18,3096.18,2025-03-20 08:15:00,3046.55,Reverse Signal,CLOSED,98.20000000000346,0.3234327345546162,0.5,0.05
2025-03-20 08:15:00,3045.41,SELL,10.0,3065.41,2985.41,2025-03-20 20:00:00,3043.22,Reverse Signal,CLOSED,16.400000000000546,0.053851533947811774,0.5,0.05
2025-03-20 20:00:00,3044.15,BUY,10.0,3024.15,3104.15,2025-03-21 02:00:00,3042.78,Reverse Signal,CLOSED,-19.19999999999891,-0.0630717934398729,0.5,0.05
2025-03-21 02:00:00,3043.85,SELL,10.0,3063.85,2983.85,2025-03-23 23:00:00,3020.97,Reverse Signal,CLOSED,223.3000000000011,0.7336103947303615,0.5,0.05
2025-03-23 23:00:00,3023.25,BUY,10.0,3003.25,3083.25,2025-03-24 01:30:00,3022.62,Reverse Signal,CLOSED,-11.800000000001091,-0.03903084429008879,0.5,0.05
2025-03-24 01:30:00,3022.62,SELL,10.0,3042.62,2962.62,2025-03-24 06:05:00,3018.99,Reverse Signal,CLOSED,30.80000000000109,0.10189835308441383,0.5,0.05
2025-03-24 06:05:00,3021.77,BUY,10.0,3001.77,3081.77,2025-03-24 15:00:00,3022.48,Reverse Signal,CLOSED,1.6000000000003634,0.0052949099368924946,0.5,0.05
2025-03-24 15:00:00,3021.32,SELL,10.0,3041.32,2961.32,2025-03-25 06:00:00,3015.18,Reverse Signal,CLOSED,55.900000000003274,0.18501846874876965,0.5,0.05
2025-03-25 06:00:00,3017.17,BUY,10.0,2997.17,3077.17,2025-03-25 08:20:00,3015.09,Reverse Signal,CLOSED,-26.299999999999272,-0.08716777642625133,0.5,0.05
2025-03-25 08:20:00,3013.25,SELL,10.0,3033.25,2953.25,2025-03-25 10:20:00,3020.63,Reverse Signal,CLOSED,-79.30000000000109,-0.26317099477308914,0.5,0.05
2025-03-25 10:20:00,3021.58,BUY,10.0,3001.58,3081.58,2025-03-25 19:15:00,3022.15,Reverse Signal,CLOSED,0.20000000000163665,0.0006619053607769335,0.5,0.05
2025-03-25 19:15:00,3020.12,SELL,10.0,3040.12,2960.12,2025-03-25 21:45:00,3020.14,Reverse Signal,CLOSED,-5.699999999999818,-0.018873422248121993,0.5,0.05
2025-03-25 21:45:00,3020.58,BUY,10.0,3000.58,3080.58,2025-03-26 01:25:00,3021.58,Reverse Signal,CLOSED,4.5,0.014897801084559919,0.5,0.05
2025-03-26 01:25:00,3020.49,SELL,10.0,3040.49,2960.49,2025-03-26 03:35:00,3025.59,Reverse Signal,CLOSED,-56.50000000000364,-0.18705574261131022,0.5,0.05
2025-03-26 03:35:00,3026.22,BUY,10.0,3006.22,3086.22,2025-03-26 05:00:00,3017.52,Reverse Signal,CLOSED,-92.49999999999818,-0.3056618487750335,0.5,0.05
2025-03-26 05:00:00,3016.82,SELL,10.0,3036.82,2956.82,2025-03-26 07:10:00,3024.38,Reverse Signal,CLOSED,-81.09999999999945,-0.26882611491570413,0.5,0.05
2025-03-26 07:10:00,3024.73,BUY,10.0,3004.73,3084.73,2025-03-26 10:25:00,3020.17,Reverse Signal,CLOSED,-51.099999999999454,-0.1689406988392334,0.5,0.05
2025-03-26 10:25:00,3019.7,SELL,10.0,3039.7,2959.7,2025-03-26 12:25:00,3027.84,Reverse Signal,CLOSED,-86.90000000000327,-0.2877769314832708,0.5,0.05
2025-03-26 12:25:00,3028.21,BUY,10.0,3008.21,3088.21,2025-03-26 14:35:00,3022.99,Reverse Signal,CLOSED,-57.70000000000255,-0.1905416070880241,0.5,0.05
2025-03-26 14:35:00,3020.84,SELL,10.0,3040.84,2960.84,2025-03-27 00:05:00,3018.64,Reverse Signal,CLOSED,16.50000000000273,0.05462056911323582,0.5,0.05
2025-03-27 00:05:00,3019.58,BUY,10.0,2999.58,3079.58,2025-03-28 06:45:00,3079.58,TP_HIT,CLOSED,594.5,1.9688168553242507,0.5,0.05
2025-03-28 15:45:00,3072.82,SELL,10.0,3092.82,3012.82,2025-03-28 16:35:00,3079.86,Reverse Signal,CLOSED,-75.89999999999964,-0.24700438034118377,0.5,0.05
2025-03-28 16:35:00,3082.76,BUY,10.0,3062.76,3142.76,2025-03-31 02:15:00,3087.19,Reverse Signal,CLOSED,38.79999999999836,0.1258612412253901,0.5,0.05
2025-03-31 02:15:00,3086.72,SELL,10.0,3106.72,3026.72,2025-03-31 04:15:00,3098.68,Reverse Signal,CLOSED,-125.10000000000036,-0.4052845739166506,0.5,0.05
2025-03-31 04:15:00,3099.05,BUY,10.0,3079.05,3159.05,2025-04-01 16:30:00,3126.8,Reverse Signal,CLOSED,272.0,0.877688323841177,0.5,0.05
2025-04-01 16:30:00,3126.53,SELL,10.0,3146.53,3066.53,2025-04-02 03:00:00,3122.85,Reverse Signal,CLOSED,31.30000000000291,0.10011098566142947,0.5,0.05
2025-04-02 03:00:00,3122.69,BUY,10.0,3102.69,3182.69,2025-04-02 06:00:00,3125.42,Reverse Signal,CLOSED,21.800000000000182,0.06981160473822308,0.5,0.05
2025-04-02 06:00:00,3125.76,SELL,10.0,3145.76,3065.76,2025-04-02 09:40:00,3117.11,Reverse Signal,CLOSED,81.00000000000091,0.25913697788698076,0.5,0.05
2025-04-02 09:40:00,3119.53,BUY,10.0,3099.53,3179.53,2025-04-02 12:40:00,3123.65,Reverse Signal,CLOSED,35.69999999999891,0.1144403163297,0.5,0.05
2025-04-02 12:40:00,3117.15,SELL,10.0,3137.15,3057.15,2025-04-02 15:00:00,3122.34,Reverse Signal,CLOSED,-57.400000000000546,-0.18414256612611052,0.5,0.05
2025-04-02 15:00:00,3122.6,BUY,10.0,3102.6,3182.6,2025-04-02 20:15:00,3123.31,Reverse Signal,CLOSED,1.6000000000003634,0.005123935182221109,0.5,0.05
2025-04-02 20:15:00,3124.08,SELL,10.0,3144.08,3064.08,2025-04-02 21:50:00,3125.53,Reverse Signal,CLOSED,-20.00000000000273,-0.06401884714860928,0.5,0.05
2025-04-02 21:50:00,3124.67,BUY,10.0,3104.67,3184.67,2025-04-03 07:05:00,3140.28,Reverse Signal,CLOSED,150.60000000000127,0.481970896126635,0.5,0.05
2025-04-03 07:05:00,3140.05,SELL,10.0,3160.05,3080.05,2025-04-03 14:25:00,3080.05,TP_HIT,CLOSED,594.5,1.8932819541090111,0.5,0.05
2025-04-03 16:35:00,3122.66,BUY,10.0,3102.66,3182.66,2025-04-03 18:20:00,3102.66,SL_HIT,CLOSED,-205.5,-0.6580927798735694,0.5,0.05
2025-04-03 18:30:00,3107.71,SELL,10.0,3127.71,3047.71,2025-04-04 07:00:00,3100.05,Reverse Signal,CLOSED,71.09999999999854,0.2287858262193015,0.5,0.05
2025-04-04 07:00:00,3103.01,BUY,10.0,3083.01,3163.01,2025-04-04 09:30:00,3100.35,Reverse Signal,CLOSED,-32.10000000000309,-0.10344794248166488,0.5,0.05
2025-04-04 09:30:00,3097.09,SELL,10.0,3117.09,3037.09,2025-04-04 12:25:00,3095.24,Reverse Signal,CLOSED,13.000000000003638,0.041974886102772724,0.5,0.05
2025-04-04 12:25:00,3106.9,BUY,10.0,3086.9,3166.9,2025-04-04 14:35:00,3086.9,SL_HIT,CLOSED,-205.5,-0.6614310084006566,0.5,0.05
2025-04-04 14:50:00,3070.46,SELL,10.0,3090.46,3010.46,2025-04-07 00:05:00,3010.46,TP_HIT,CLOSED,594.5,1.9361919712355804,0.5,0.05
